




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition (GO:0044334)	2	1	.00	+	 > 100	2.86E-04	1.00E00
positive regulation of proteoglycan biosynthetic process (GO:1902730)	3	1	.00	+	 > 100	3.81E-04	1.00E00
positive regulation of heparan sulfate proteoglycan biosynthetic process (GO:0010909)	3	1	.00	+	 > 100	3.81E-04	1.00E00
regulation of heparan sulfate proteoglycan biosynthetic process (GO:0010908)	3	1	.00	+	 > 100	3.81E-04	1.00E00
myoblast fate commitment (GO:0048625)	5	1	.00	+	 > 100	5.71E-04	1.00E00
negative regulation of type B pancreatic cell apoptotic process (GO:2000675)	6	1	.00	+	 > 100	6.67E-04	1.00E00
maintenance of DNA repeat elements (GO:0043570)	7	1	.00	+	 > 100	7.62E-04	1.00E00
ether lipid metabolic process (GO:0046485)	9	1	.00	+	 > 100	9.52E-04	1.00E00
regulation of type B pancreatic cell apoptotic process (GO:2000674)	10	1	.00	+	 > 100	1.05E-03	1.00E00
glycerol ether metabolic process (GO:0006662)	11	1	.00	+	 > 100	1.14E-03	1.00E00
ether metabolic process (GO:0018904)	16	1	.00	+	 > 100	1.62E-03	1.00E00
triglyceride biosynthetic process (GO:0019432)	20	1	.00	+	 > 100	2.00E-03	1.00E00
positive regulation of protein export from nucleus (GO:0046827)	21	1	.00	+	 > 100	2.09E-03	1.00E00
positive regulation of glycoprotein biosynthetic process (GO:0010560)	21	1	.00	+	 > 100	2.09E-03	1.00E00
acylglycerol biosynthetic process (GO:0046463)	22	1	.00	+	 > 100	2.19E-03	1.00E00
neutral lipid biosynthetic process (GO:0046460)	22	1	.00	+	 > 100	2.19E-03	1.00E00
positive regulation of glycoprotein metabolic process (GO:1903020)	23	1	.00	+	 > 100	2.28E-03	1.00E00
beta-catenin-TCF complex assembly (GO:1904837)	29	1	.00	+	 > 100	2.86E-03	1.00E00
myoblast differentiation (GO:0045445)	36	1	.00	+	 > 100	3.52E-03	1.00E00
Wnt signaling pathway, calcium modulating pathway (GO:0007223)	37	1	.00	+	 > 100	3.62E-03	1.00E00
regulation of protein export from nucleus (GO:0046825)	39	1	.00	+	 > 100	3.81E-03	1.00E00
regulation of hormone metabolic process (GO:0032350)	40	1	.00	+	 > 100	3.90E-03	1.00E00
regulation of glycoprotein biosynthetic process (GO:0010559)	41	1	.00	+	 > 100	4.00E-03	1.00E00
negative regulation of epithelial cell apoptotic process (GO:1904036)	42	1	.00	+	 > 100	4.09E-03	1.00E00
regulation of glycoprotein metabolic process (GO:1903018)	46	1	.00	+	 > 100	4.47E-03	1.00E00
positive regulation of epithelial to mesenchymal transition (GO:0010718)	47	1	.00	+	 > 100	4.57E-03	1.00E00
positive regulation of nucleocytoplasmic transport (GO:0046824)	67	1	.01	+	 > 100	6.47E-03	1.00E00
pancreas development (GO:0031016)	72	1	.01	+	 > 100	6.94E-03	1.00E00
triglyceride metabolic process (GO:0006641)	73	1	.01	+	 > 100	7.04E-03	1.00E00
positive regulation of insulin secretion (GO:0032024)	77	1	.01	+	 > 100	7.42E-03	1.00E00
regulation of epithelial cell apoptotic process (GO:1904035)	79	1	.01	+	 > 100	7.61E-03	1.00E00
canonical Wnt signaling pathway (GO:0060070)	84	1	.01	+	 > 100	8.08E-03	1.00E00
regulation of epithelial to mesenchymal transition (GO:0010717)	84	1	.01	+	 > 100	8.08E-03	1.00E00
acylglycerol metabolic process (GO:0006639)	97	1	.01	+	 > 100	9.31E-03	1.00E00
neutral lipid metabolic process (GO:0006638)	98	1	.01	+	 > 100	9.41E-03	1.00E00
positive regulation of protein binding (GO:0032092)	98	1	.01	+	 > 100	9.41E-03	1.00E00
positive regulation of peptide hormone secretion (GO:0090277)	103	1	.01	+	 > 100	9.88E-03	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	104	1	.01	+	 > 100	9.98E-03	1.00E00
fat cell differentiation (GO:0045444)	105	1	.01	+	99.98	1.01E-02	1.00E00
regulation of nucleocytoplasmic transport (GO:0046822)	111	1	.01	+	94.58	1.06E-02	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	134	1	.01	+	78.34	1.28E-02	1.00E00
positive regulation of hormone secretion (GO:0046887)	134	1	.01	+	78.34	1.28E-02	1.00E00
regulation of smooth muscle cell proliferation (GO:0048660)	136	1	.01	+	77.19	1.30E-02	1.00E00
response to glucose (GO:0009749)	142	1	.01	+	73.93	1.36E-02	1.00E00
cell cycle arrest (GO:0007050)	147	1	.01	+	71.41	1.40E-02	1.00E00
response to hexose (GO:0009746)	147	1	.01	+	71.41	1.40E-02	1.00E00
response to monosaccharide (GO:0034284)	152	1	.01	+	69.07	1.45E-02	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	157	1	.01	+	66.87	1.50E-02	1.00E00
positive regulation of intracellular protein transport (GO:0090316)	158	1	.02	+	66.44	1.51E-02	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	166	1	.02	+	63.24	1.58E-02	1.00E00
positive regulation of protein kinase B signaling (GO:0051897)	170	1	.02	+	61.75	1.62E-02	1.00E00
response to carbohydrate (GO:0009743)	177	1	.02	+	59.31	1.69E-02	1.00E00
regulation of insulin secretion (GO:0050796)	181	1	.02	+	58.00	1.73E-02	1.00E00
positive regulation of binding (GO:0051099)	183	1	.02	+	57.37	1.74E-02	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	186	1	.02	+	56.44	1.77E-02	1.00E00
glucose homeostasis (GO:0042593)	191	1	.02	+	54.96	1.82E-02	1.00E00
carbohydrate homeostasis (GO:0033500)	192	1	.02	+	54.68	1.83E-02	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	192	1	.02	+	54.68	1.83E-02	1.00E00
membrane lipid metabolic process (GO:0006643)	201	1	.02	+	52.23	1.91E-02	1.00E00
positive regulation of intracellular transport (GO:0032388)	214	1	.02	+	49.06	2.04E-02	1.00E00
regulation of peptide hormone secretion (GO:0090276)	215	1	.02	+	48.83	2.05E-02	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	218	1	.02	+	48.16	2.08E-02	1.00E00
glycerolipid biosynthetic process (GO:0045017)	221	1	.02	+	47.50	2.10E-02	1.00E00
regulation of protein kinase B signaling (GO:0051896)	225	1	.02	+	46.66	2.14E-02	1.00E00
regulation of protein binding (GO:0043393)	227	1	.02	+	46.25	2.16E-02	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	229	1	.02	+	45.84	2.18E-02	1.00E00
regulation of intracellular protein transport (GO:0033157)	235	1	.02	+	44.67	2.24E-02	1.00E00
cell fate commitment (GO:0045165)	248	1	.02	+	42.33	2.36E-02	1.00E00
regulation of hormone secretion (GO:0046883)	270	1	.03	+	38.88	2.56E-02	1.00E00
positive regulation of protein secretion (GO:0050714)	280	1	.03	+	37.49	2.66E-02	1.00E00
regulation of canonical Wnt signaling pathway (GO:0060828)	291	1	.03	+	36.08	2.76E-02	1.00E00
positive regulation of peptide secretion (GO:0002793)	302	1	.03	+	34.76	2.87E-02	1.00E00
positive regulation of cellular protein localization (GO:1903829)	332	1	.03	+	31.62	3.15E-02	1.00E00
regulation of epithelial cell proliferation (GO:0050678)	336	1	.03	+	31.24	3.18E-02	1.00E00
cell-cell signaling by wnt (GO:0198738)	347	1	.03	+	30.25	3.29E-02	1.00E00
Wnt signaling pathway (GO:0016055)	347	1	.03	+	30.25	3.29E-02	1.00E00
regulation of intracellular transport (GO:0032386)	356	1	.03	+	29.49	3.37E-02	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	373	1	.04	+	28.14	3.53E-02	1.00E00
glycerolipid metabolic process (GO:0046486)	381	1	.04	+	27.55	3.61E-02	1.00E00
regulation of binding (GO:0051098)	386	1	.04	+	27.20	3.65E-02	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	407	1	.04	+	25.79	3.85E-02	1.00E00
positive regulation of secretion by cell (GO:1903532)	414	1	.04	+	25.36	3.91E-02	1.00E00
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	1	.04	+	25.00	3.97E-02	1.00E00
regulation of DNA-binding transcription factor activity (GO:0051090)	430	1	.04	+	24.41	4.06E-02	1.00E00
positive regulation of protein transport (GO:0051222)	433	1	.04	+	24.24	4.09E-02	1.00E00
positive regulation of secretion (GO:0051047)	444	1	.04	+	23.64	4.19E-02	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	471	1	.04	+	22.29	4.45E-02	1.00E00
regulation of protein secretion (GO:0050708)	473	1	.05	+	22.19	4.46E-02	1.00E00
muscle structure development (GO:0061061)	480	1	.05	+	21.87	4.53E-02	1.00E00
blood vessel development (GO:0001568)	494	1	.05	+	21.25	4.66E-02	1.00E00
regulation of peptide secretion (GO:0002791)	503	1	.05	+	20.87	4.74E-02	1.00E00
vasculature development (GO:0001944)	516	1	.05	+	20.34	4.86E-02	1.00E00
cardiovascular system development (GO:0072358)	526	1	.05	+	19.96	4.96E-02	1.00E00
regulation of hormone levels (GO:0010817)	536	1	.05	+	19.59	5.05E-02	1.00E00
regulation of cellular protein localization (GO:1903827)	548	1	.05	+	19.16	5.16E-02	1.00E00
negative regulation of cell cycle (GO:0045786)	577	1	.05	+	18.19	5.43E-02	1.00E00
lipid biosynthetic process (GO:0008610)	580	1	.06	+	18.10	5.46E-02	1.00E00
regulation of protein transport (GO:0051223)	716	1	.07	+	14.66	6.71E-02	1.00E00
regulation of peptide transport (GO:0090087)	748	1	.07	+	14.03	7.01E-02	1.00E00
