




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
interleukin-13 receptor complex (GO:0005898)	1	1	.01	+	 > 100	1.04E-02	8.70E-01
dehydrodolichyl diphosphate synthase complex (GO:1904423)	2	1	.01	+	95.44	1.56E-02	1.00E00
integrin alpha1-beta1 complex (GO:0034665)	2	1	.01	+	95.44	1.56E-02	1.00E00
beta-catenin-TCF7L2 complex (GO:0070369)	3	1	.02	+	63.62	2.07E-02	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	1	.02	+	47.72	2.58E-02	1.00E00
senescence-associated heterochromatin focus (GO:0035985)	4	1	.02	+	47.72	2.58E-02	1.00E00
actomyosin contractile ring (GO:0005826)	4	1	.02	+	47.72	2.58E-02	1.00E00
retromer, cargo-selective complex (GO:0030906)	4	1	.02	+	47.72	2.58E-02	1.00E00
GID complex (GO:0034657)	4	1	.02	+	47.72	2.58E-02	1.00E00
Piccolo NuA4 histone acetyltransferase complex (GO:0032777)	4	1	.02	+	47.72	2.58E-02	1.00E00
tubular endosome (GO:0097422)	5	1	.03	+	38.17	3.09E-02	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	5	1	.03	+	38.17	3.09E-02	1.00E00
contractile ring (GO:0070938)	10	2	.05	+	38.17	1.72E-03	2.65E-01
beta-catenin-TCF complex (GO:1990907)	11	2	.06	+	34.70	2.02E-03	2.39E-01
extrinsic component of postsynaptic specialization membrane (GO:0098892)	6	1	.03	+	31.81	3.59E-02	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	6	1	.03	+	31.81	3.59E-02	1.00E00
axolemma (GO:0030673)	15	2	.08	+	25.45	3.48E-03	3.88E-01
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	8	1	.04	+	23.86	4.59E-02	1.00E00
death-inducing signaling complex (GO:0031264)	9	1	.05	+	21.21	5.09E-02	1.00E00
cytosolic proteasome complex (GO:0031597)	9	1	.05	+	21.21	5.09E-02	1.00E00
spectrin-associated cytoskeleton (GO:0014731)	9	1	.05	+	21.21	5.09E-02	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	10	1	.05	+	19.09	5.59E-02	1.00E00
AP-3 adaptor complex (GO:0030123)	10	1	.05	+	19.09	5.59E-02	1.00E00
Fanconi anaemia nuclear complex (GO:0043240)	13	1	.07	+	14.68	7.06E-02	1.00E00
Sin3 complex (GO:0016580)	14	1	.07	+	13.63	7.54E-02	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	14	1	.07	+	13.63	7.54E-02	1.00E00
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	14	1	.07	+	13.63	7.54E-02	1.00E00
Sin3-type complex (GO:0070822)	17	1	.09	+	11.23	8.98E-02	1.00E00
pronucleus (GO:0045120)	17	1	.09	+	11.23	8.98E-02	1.00E00
axon initial segment (GO:0043194)	19	1	.10	+	10.05	9.93E-02	1.00E00
H4/H2A histone acetyltransferase complex (GO:0043189)	20	1	.10	+	9.54	1.04E-01	1.00E00
NuA4 histone acetyltransferase complex (GO:0035267)	20	1	.10	+	9.54	1.04E-01	1.00E00
retromer complex (GO:0030904)	20	1	.10	+	9.54	1.04E-01	1.00E00
mast cell granule (GO:0042629)	22	1	.12	+	8.68	1.13E-01	1.00E00
proteasome regulatory particle (GO:0005838)	22	1	.12	+	8.68	1.13E-01	1.00E00
M band (GO:0031430)	25	1	.13	+	7.63	1.27E-01	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	25	1	.13	+	7.63	1.27E-01	1.00E00
proteasome accessory complex (GO:0022624)	25	1	.13	+	7.63	1.27E-01	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	29	1	.15	+	6.58	1.45E-01	1.00E00
neuron projection membrane (GO:0032589)	61	2	.32	+	6.26	4.28E-02	1.00E00
integrin complex (GO:0008305)	32	1	.17	+	5.96	1.59E-01	1.00E00
proteasome complex (GO:0000502)	66	2	.35	+	5.78	4.91E-02	1.00E00
endopeptidase complex (GO:1905369)	67	2	.35	+	5.70	5.04E-02	1.00E00
main axon (GO:0044304)	70	2	.37	+	5.45	5.43E-02	1.00E00
microtubule end (GO:1990752)	35	1	.18	+	5.45	1.72E-01	1.00E00
protein complex involved in cell adhesion (GO:0098636)	35	1	.18	+	5.45	1.72E-01	1.00E00
integral component of synaptic vesicle membrane (GO:0030285)	36	1	.19	+	5.30	1.76E-01	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	38	1	.20	+	5.02	1.85E-01	1.00E00
A band (GO:0031672)	39	1	.20	+	4.89	1.89E-01	1.00E00
endosome lumen (GO:0031904)	40	1	.21	+	4.77	1.93E-01	1.00E00
