




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity (GO:0008893)	1	1	.00	+	 > 100	3.14E-03	1.00E00
N6-threonylcarbomyladenosine methylthiotransferase activity (GO:0035598)	1	1	.00	+	 > 100	3.14E-03	1.00E00
tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase (GO:0061712)	1	1	.00	+	 > 100	3.14E-03	9.81E-01
diphosphoric monoester hydrolase activity (GO:0016794)	1	1	.00	+	 > 100	3.14E-03	9.19E-01
transferase activity, transferring alkylthio groups (GO:0050497)	2	1	.00	+	 > 100	4.70E-03	9.59E-01
mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity (GO:0004572)	2	1	.00	+	 > 100	4.70E-03	9.19E-01
methylthiotransferase activity (GO:0035596)	2	1	.00	+	 > 100	4.70E-03	8.82E-01
tRNA demethylase activity (GO:1990984)	2	1	.00	+	 > 100	4.70E-03	8.48E-01
RNA N6-methyladenosine dioxygenase activity (GO:1990931)	2	1	.00	+	 > 100	4.70E-03	8.17E-01
oxidative DNA demethylase activity (GO:0035516)	3	1	.00	+	 > 100	6.26E-03	9.79E-01
DNA-N1-methyladenine dioxygenase activity (GO:0043734)	3	1	.00	+	 > 100	6.26E-03	9.48E-01
voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization (GO:0086089)	4	1	.01	+	 > 100	7.82E-03	1.00E00
melatonin receptor activity (GO:0008502)	4	1	.01	+	 > 100	7.82E-03	1.00E00
ISG15 transferase activity (GO:0042296)	4	1	.01	+	 > 100	7.82E-03	9.92E-01
ATP-activated inward rectifier potassium channel activity (GO:0015272)	4	1	.01	+	 > 100	7.82E-03	9.66E-01
DBD domain binding (GO:0050692)	4	1	.01	+	 > 100	7.82E-03	9.41E-01
oxidative RNA demethylase activity (GO:0035515)	5	1	.01	+	 > 100	9.38E-03	1.00E00
DNA demethylase activity (GO:0035514)	5	1	.01	+	 > 100	9.38E-03	9.78E-01
arachidonic acid binding (GO:0050544)	5	1	.01	+	 > 100	9.38E-03	9.57E-01
icosatetraenoic acid binding (GO:0050543)	6	1	.01	+	 > 100	1.09E-02	1.00E00
icosanoid binding (GO:0050542)	6	1	.01	+	 > 100	1.09E-02	1.00E00
type 1 angiotensin receptor binding (GO:0031702)	7	1	.01	+	90.89	1.25E-02	1.00E00
LBD domain binding (GO:0050693)	7	1	.01	+	90.89	1.25E-02	1.00E00
angiotensin receptor binding (GO:0031701)	8	1	.01	+	79.53	1.40E-02	1.00E00
mannosyl-oligosaccharide mannosidase activity (GO:0015924)	9	1	.01	+	70.69	1.56E-02	1.00E00
SUMO ligase activity (GO:0061665)	9	1	.01	+	70.69	1.56E-02	1.00E00
armadillo repeat domain binding (GO:0070016)	10	1	.02	+	63.62	1.71E-02	1.00E00
eukaryotic initiation factor 4E binding (GO:0008190)	10	1	.02	+	63.62	1.71E-02	1.00E00
