




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Signaling by FGFR2 fusions (R-HSA-8853333)	1	1	.01	+	 > 100	1.04E-02	1.00E00
FGFR4 mutant receptor activation (R-HSA-1839128)	1	1	.01	+	 > 100	1.04E-02	9.90E-01
Signaling by FGFR2 amplification mutants (R-HSA-2023837)	1	1	.01	+	 > 100	1.04E-02	9.49E-01
Defective GCK causes maturity-onset diabetes of the young 2 (MODY2) (R-HSA-5619073)	1	1	.01	+	 > 100	1.04E-02	9.11E-01
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC) (R-HSA-5619107)	3	2	.02	+	 > 100	2.66E-04	1.95E-01
TWIK-related alkaline pH activated K+ channel (TALK) (R-HSA-1299361)	2	1	.01	+	95.44	1.56E-02	1.00E00
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA (R-HSA-428359)	3	1	.02	+	63.62	2.07E-02	1.00E00
betaKlotho-mediated ligand binding (R-HSA-1307965)	3	1	.02	+	63.62	2.07E-02	1.00E00
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation (R-HSA-2892245)	3	1	.02	+	63.62	2.07E-02	1.00E00
TCF7L2 mutants don't bind CTBP (R-HSA-5339700)	3	1	.02	+	63.62	2.07E-02	1.00E00
Regulation of gene expression in early pancreatic precursor cells (R-HSA-210747)	7	2	.04	+	54.54	9.46E-04	3.45E-01
Astrocytic Glutamate-Glutamine Uptake And Metabolism (R-HSA-210455)	4	1	.02	+	47.72	2.58E-02	1.00E00
Neurotransmitter uptake and metabolism In glial cells (R-HSA-112313)	4	1	.02	+	47.72	2.58E-02	1.00E00
CHL1 interactions (R-HSA-447041)	9	2	.05	+	42.42	1.44E-03	4.49E-01
Regulation of gene expression in beta cells (R-HSA-210745)	19	4	.10	+	40.18	5.73E-06	6.28E-03
Activation of RAS in B cells (R-HSA-1169092)	5	1	.03	+	38.17	3.09E-02	1.00E00
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells (R-HSA-210746)	5	1	.03	+	38.17	3.09E-02	1.00E00
IRS activation (R-HSA-74713)	5	1	.03	+	38.17	3.09E-02	1.00E00
Proton-coupled monocarboxylate transport (R-HSA-433692)	6	1	.03	+	31.81	3.59E-02	1.00E00
Repression of WNT target genes (R-HSA-4641265)	12	2	.06	+	31.81	2.35E-03	4.29E-01
