DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,,,,"LINC00928, TICRR",,,,,,,chr15:90080605-A,chr15:90080605,0,,,1,0.9129999999999999,4e-06,5.3979400086720375,,1.34,[1.17-1.53],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,8p23.2,8.0,3359886.0,CSMD1,CSMD1,,,ENSG00000183117,,,rs112328442-C,rs112328442,0,112328442.0,intron_variant,0,0.98,9e-06,5.045757490560675,,1.84,[1.42-2.38],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,6p21.1,6.0,41201241.0,TREML2,TREML2 - TREML3P,ENSG00000112195,ENSG00000184106,,47.0,7472.0,rs113052081-T,rs113052081,0,113052081.0,regulatory_region_variant,1,0.986,2e-06,5.698970004336019,,2.55,[1.74-3.72],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,19q13.2,19.0,41341832.0,TGFB1,TGFB1,,,ENSG00000105329,,,rs11466334-A,rs11466334,0,11466334.0,intron_variant,0,0.094,1e-06,6.0,,1.41,[1.23-1.63],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,7q22.1,7.0,102299678.0,SH2B2,SH2B2,,,ENSG00000160999,,,rs115175234-G,rs115175234,0,115175234.0,intron_variant,0,0.034,9e-06,5.045757490560675,,1.64,[1.31-2.05],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,7p22.3,7.0,1729716.0,ELFN1,ELFN1,,,ENSG00000225968,,,rs115351876-T,rs115351876,0,115351876.0,intron_variant,0,0.033,3e-06,5.522878745280337,,1.69,[1.36-2.10],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,12q23.1,12.0,98386008.0,"MIR4303, SLC9A7P1",AC008055.1 - RNU4-41P,ENSG00000257580,ENSG00000201296,,67659.0,31888.0,rs115585699-T,rs115585699,0,115585699.0,intergenic_variant,1,0.975,3e-06,5.522878745280337,,1.8,[1.42-2.29],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,12q14.2,12.0,63394241.0,"AVPR1A, DPY19L2",AC026116.1 - DPY19L2,ENSG00000258117,ENSG00000177990,,34204.0,164672.0,rs12231031-C,rs12231031,0,12231031.0,intergenic_variant,1,0.8320000000000001,8e-06,5.096910013008057,,1.27,[1.15-1.40],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,11p15.5,11.0,2185703.0,INS,MIR4686 - ASCL2,ENSG00000265258,ENSG00000183734,,12565.0,82792.0,rs12277475-T,rs12277475,0,12277475.0,intergenic_variant,1,0.21899999999999997,2e-07,6.698970004336019,,1.28,[1.17-1.40],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
2019-07-12,31049640,Chen J,2019-05-02,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/31049640,Genome-wide association study of type 2 diabetes in Africa.,Type 2 diabetes,"2,633 African ancestry cases, 1,714 African ancestry controls",,14q23.3,14.0,64761876.0,SPTB,SPTB,,,ENSG00000070182,,,rs12885036-C,rs12885036,0,12885036.0,intron_variant,0,0.91,7.000000000000001e-06,5.154901959985743,,1.34,[1.18-1.53],"Affymetrix, Illumina [12148595] (imputed)",N,type II diabetes mellitus,http://www.ebi.ac.uk/efo/EFO_0001360,GCST008114,Genome-wide genotyping array
